0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,
0,0,0,15,9,0,16,0,8,0,11,0,9,9,23,25,14,23,31,0,0,10,15,10,20,11,18,24,0,38,27,0,0,14,10,0,0,13,20,17,14,10,27,34,0,8,0,27,13,0,32,10,0,17,27,0,10,0,29,10,0,13,0,0,10,13,12,0,20,24,12,7,61,23,9,9,20,13,0,13,0,9,16,0,0,10,0,0,0,0,8,0,29,13,0,8,0,0,7,19,
7,0,7,8,9,8,17,12,0,46,0,22,0,0,30,38,0,46,0,14,11,19,0,18,26,0,0,20,10,0,22,23,0,0,12,13,11,0,12,10,0,0,21,10,26,0,12,30,42,14,11,0,0,29,0,0,24,25,20,0,0,12,0,26,0,9,16,0,19,11,0,0,9,17,19,16,23,25,0,0,9,0,23,0,9,7,0,9,0,0,0,9,27,21,17,16,0,0,0,0,
7,15,0,21,0,8,22,0,18,0,10,14,19,12,10,20,30,13,0,26,24,37,9,0,0,14,0,14,0,0,23,8,11,12,24,20,25,0,21,18,11,9,0,0,23,0,0,15,12,20,25,14,0,0,11,11,9,0,0,27,6,0,14,0,35,13,23,0,14,13,27,0,0,18,10,23,9,0,0,9,0,0,15,0,32,12,13,22,10,18,10,12,0,8,13,7,0,0,12,0,
0,6,0,17,20,9,18,11,30,0,0,10,0,14,11,0,21,0,8,25,0,28,21,39,0,32,0,21,13,0,0,10,11,9,10,9,0,14,0,0,13,49,9,19,0,11,24,0,12,11,8,23,28,13,27,0,10,23,17,0,19,6,31,0,10,0,12,0,0,13,24,0,37,8,0,34,0,0,13,0,0,9,21,0,0,7,0,0,9,0,21,0,12,0,7,8,17,12,10,6,
13,19,9,18,40,0,11,11,9,11,14,40,0,0,0,16,0,0,11,8,14,9,11,0,10,9,0,34,26,10,0,0,12,33,0,0,19,19,0,9,0,0,0,13,9,62,0,0,0,21,49,11,14,10,0,0,0,0,10,34,15,10,9,10,22,31,25,0,18,16,0,0,22,0,14,0,8,16,34,0,15,10,0,7,7,9,0,13,0,0,16,22,0,17,0,0,0,6,15,14,
7,8,8,27,0,11,14,9,18,0,0,0,22,0,9,27,0,8,0,9,24,9,24,0,10,21,0,11,27,19,14,11,17,0,11,0,20,0,27,11,0,13,42,7,0,0,0,17,9,19,0,0,12,19,0,0,26,31,8,19,9,15,14,0,0,25,10,10,32,6,48,13,22,0,0,13,20,0,28,0,10,0,0,13,22,17,0,10,0,9,10,11,8,25,5,8,0,2,0,0,
14,0,8,36,19,21,11,27,0,12,0,9,13,16,0,21,8,12,14,0,28,0,10,10,14,16,0,0,0,11,0,22,34,0,0,0,0,35,35,33,14,39,33,0,0,22,10,13,0,0,22,0,15,0,0,22,0,12,11,0,10,0,11,0,0,33,10,0,17,23,22,0,13,22,22,0,11,22,13,8,0,14,25,9,23,0,11,18,0,11,12,0,0,0,12,0,0,0,0,6,
7,16,18,0,0,30,32,0,0,0,0,0,0,12,0,17,11,0,23,9,17,0,11,0,12,18,24,24,11,18,0,0,0,21,10,8,14,26,15,14,10,12,0,12,0,0,9,0,0,13,26,8,12,9,13,11,18,11,25,0,31,0,0,10,22,27,0,38,13,19,19,14,11,45,10,18,26,26,0,0,9,16,0,0,8,0,0,12,0,9,13,17,0,12,6,11,16,0,21,0,
0,29,11,22,0,20,11,0,30,10,10,0,0,30,30,0,26,10,12,11,32,12,0,9,13,0,0,0,11,0,39,0,0,24,16,17,11,0,0,13,12,0,33,0,12,14,24,14,0,0,10,0,11,22,22,7,16,35,11,0,0,22,30,31,20,10,17,14,7,14,0,0,0,12,10,0,6,11,9,0,20,12,0,0,7,10,0,12,12,0,0,0,7,22,10,15,11,6,0,7,
0,7,17,0,25,12,0,15,14,0,0,20,8,10,7,41,19,0,22,12,10,0,22,0,0,0,0,55,20,15,0,0,33,0,10,12,41,0,8,0,8,22,0,0,0,11,0,33,30,0,33,14,34,0,24,15,0,10,25,0,30,0,0,7,15,19,19,23,0,17,0,0,0,0,0,0,0,47,0,0,16,0,0,0,0,14,15,26,10,28,10,0,0,18,0,0,7,9,7,12,
